Trial,Stim_Fast_Mean,Stim_Slow_Mean,Recovery_Fast_Mean,Recovery_Slow_Mean
1,53.1978356225964,-114.197672544778,984.17314899309,-181.924795994331
2,-63.7975323797874,95.3624613016627,1148.52272662326,-664.053699695464
3,-33.8668827913337,-76.4313039287458,887.788370599112,-692.053007095536
4,-9.78450804446099,-32.008952732902,918.954030404458,-774.683692526743
5,54.2510875929846,127.275467904764,811.013976307261,-908.524523119831
6,184.742651398469,-127.929911300306,762.802949668068,-998.051787264659
7,124.447869637089,-109.823429328384,838.818048282609,-1041.64307946019
8,342.216695450806,-112.525166238107,821.827856313756,-1058.96171445437
9,325.641838542729,-243.806312702756,716.946174481366,-1195.40834439907
10,460.032308599508,-416.119898585513,703.298499734395,-1072.7297320469
11,378.81231739689,-363.350819217149,753.612756705189,-1180.58043350908
12,407.297895931681,-332.806146089846,763.55201962522,-1121.2070781361
13,278.814857428386,-206.70364521653,735.326238119269,-1116.43242885029
14,465.519124392235,-62.9021013060339,786.303305354568,-874.399439332339
15,333.597509129172,-190.749776385794,886.013740666021,-687.453556943344
16,368.339195183003,-214.766229881712,813.734360712676,-372.038215846571
17,307.006140179396,-215.733148587944,738.321525743307,-569.366583864645
18,426.396816925064,-493.461043685109,722.278455884595,-304.850582008946
19,242.522056456103,-761.92605744953,698.904993431764,-391.904703803265
20,279.421992616288,-883.439550384316,634.42070075109,-478.943815733416
21,269.477451816448,-810.434496082499,641.264799424289,-706.357569791832
22,343.684687454516,-781.358587390519,944.701726880953,-670.957148930867
23,361.548222217583,-687.253636293008,1128.65927399698,-888.896423929134
24,381.83704694015,-566.257641906512,1080.9285980902,-872.27550913448
25,407.276389339553,-319.127551066798,1082.10716607262,-983.350028251424
26,563.386890669392,-226.738555156394,1130.16401304089,-873.626955085065
27,523.691588847912,-181.160780497896,938.8012723879,-778.201980452745
28,440.124166951372,7.61416412951,884.00042640736,-713.176365025027
29,306.61092896483,18.5016830350731,796.844174311529,-765.60917901214
30,228.526893232338,-102.166545419417,829.915539570536,-423.892578025021
31,18.4530767476554,-199.597473147637,812.777301610791,-327.592359079387
32,13.528563644179,-371.971227484167,733.10489198728,-240.363885133104
33,117.408210745265,-656.64216560534,686.640531907365,-140.447680752579
34,331.032661945146,-590.394423232072,854.448338649755,-74.8518771191651
35,307.687223698432,-490.148682441419,780.695074478397,-377.573180373017
36,547.998265789725,-487.939919915655,631.13131659843,-625.53077208465
37,622.771423500417,-407.050569486237,590.310732632608,-793.083049878216
38,559.287609539993,-204.356812921377,470.168203764552,-864.017070485884
39,430.764739327613,-317.966003347502,421.83199882087,-861.135102790253
40,598.420392046148,-417.238760177713,449.176581303759,-773.139863516635
41,370.207448195223,-274.091230241732,471.069394748728,-464.10647672939
42,419.318374764088,-344.751785136657,530.713466316756,-368.958078719074
43,416.707289130375,-340.964454573217,614.565761322979,-344.322356084834
44,445.644320825744,-138.215847630728,676.999975106506,-324.670914289313
45,345.456999359355,-21.7199941626065,674.031883868432,-226.255018058706
46,313.346488827245,-175.332361276077,783.171469517194,-588.893918189446
47,250.556392017293,106.912663630075,776.994382041089,-730.877466562369
48,301.181488767641,-31.5607767375911,753.30992942916,-829.420526390671
49,323.15519953685,-23.0890156388335,679.721343922536,-1040.45824574595
50,327.046051216319,49.9193099902221,737.576868381385,-1302.11057894051
51,381.877512287873,37.3547330933942,833.759228719449,-1198.52193000909
52,370.522973535199,-159.173163655997,1022.83234564857,-1193.63663779027
53,236.73313485253,-74.3397501325218,1168.13382321094,-1112.48831149175
54,196.192545104191,-161.687601008187,1325.44744649966,-889.463618083517
55,109.485343790956,-124.803730001415,1412.15671592513,-836.608119308504
56,113.671109518208,-179.834945475729,1415.8203670027,-587.725372093957
57,138.344632326141,-232.707940306955,1341.4195972399,-585.79480561338
58,464.702426609516,-229.307618600105,1352.6168091433,-457.878760679624
59,437.874920882645,-214.632593385296,1343.59222592731,-627.310565952022
60,500.693290698618,-279.742099155033,1276.04539244028,-558.193341564826
61,625.334741827446,-211.578008731918,1209.04361373685,-723.480934481214
62,568.095745110378,-283.782773832634,1013.71447870627,-583.831193750157
63,268.301361669196,-195.004000535578,921.864170659797,-735.21270453354
64,377.42606925854,-311.523267420622,890.200085199067,-800.674097834123
65,523.491575719919,-300.555880768494,938.544584436658,-755.960014778841
66,628.451499988768,-291.44624212709,911.732819970227,-611.399696700752
67,635.20029319529,-221.841332263656,1066.13448306523,-744.028125297623
68,740.183629865051,-299.466236691939,1082.72777305034,-808.675287574822
69,775.292491672821,-179.270000098432,939.471848789204,-557.336481070394
70,553.17234194147,-473.970200634765,901.363238952792,-562.224263351242
71,363.461585646703,-522.114973706352,881.973494957804,-635.260982157573
72,463.492912554529,-486.840986419405,958.144441534337,-429.80343379688
73,423.233730986838,-628.599202875515,934.064428524808,-371.794463371907
74,366.763132969053,-747.497229863583,955.009540720915,-302.239140010491
75,470.4469523027,-662.001936717942,809.781113058759,-215.089253373468
76,558.236213447323,-625.095110207704,989.975190992608,-234.647756381477
77,490.510965516756,-637.41879362279,934.503333675376,-251.923830280819
78,536.309955534146,-605.948025275137,997.504551969501,-88.902330715331
79,579.250848447134,-441.193217304154,1152.67858669944,-226.479402640503
80,850.489364920136,-407.517506152071,1298.13713787387,-273.876323426018
81,842.976493749684,-438.993857831284,1232.54831006822,-182.815568859313
82,803.930055582028,-442.726374938126,1322.32911998267,-161.304491507164
83,750.939116652828,-423.420354271149,1322.17337199899,-89.9175991430185
84,874.81911809613,-673.625854119266,1193.73466225528,-72.8777324300828
85,650.521477443683,-469.620526636725,1218.78507735051,-103.51052696156
86,706.900864225309,-510.214273217747,1282.64501252834,-189.489173060567
87,945.289094587057,-510.860280318554,1271.15009945601,-468.507514256718
88,1067.62655876363,-827.283227542416,1735.58950463628,-503.260068457408
